ua01_id_punktu_adresowego,ua02_id_pe,ua03_id_po,ua04_terc,ua05_simc,ua06_ulic,ua07_nr_porzadkowy,ua08_szerokosc,ua09_dlugosc,ua10_medium_dochodzace_do_pa,ua11_technologia_dostepowa,ua12_instalacja_telekom,ua13_medium_instalacji_budynku,ua14_technologia_dostepowa,ua15_identyfikacja_uslugi,ua16_dostep_stacjonarny,ua17_dostep_stacjonarny_bezprzewodowy,ua18_telewizja_cyfrowa,ua19_radio,ua20_usluga_telefoniczna,ua21_predkosc_uslugi_td,ua22_liczba_uzytkownikow_uslugi_td
PAW23_1,PE_1_W23,AIRNETSPZOO,2205052,0172416,08124,1,54.2396,18.2028,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W23_1,Nie,Tak,Nie,Nie,Nie,02,3
PAW23_2,PE_1_W23,AIRNETSPZOO,2205052,0172416,08124,1,54.2396,18.2028,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W23_2,Nie,Tak,Nie,Nie,Nie,01,1
PAW23_3,PE_1_W23,AIRNETSPZOO,2205052,0172416,08124,1,54.2396,18.2028,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W23_3,Nie,Tak,Nie,Nie,Nie,04,1
PAW25_1,PE_1_W25,AIRNETSPZOO,2205042,0171434,,33B,54.3156,17.9382,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W25_1,Nie,Tak,Nie,Nie,Nie,02,1
PAW26_1,PE_1_W26,AIRNETSPZOO,2205062,0173806,19335,5,54.2474,17.8965,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W26_1,Nie,Tak,Nie,Nie,Nie,03,1
PAW28_1,PE_1_W28,AIRNETSPZOO,2205072,0174817,,60,54.3094,17.8164,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W28_1,Nie,Tak,Nie,Nie,Nie,02,1
PAW29_1,PE_1_W29,AIRNETSPZOO,2205072,0174852,00209,45,54.2393,17.7782,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W29_1,Nie,Tak,Nie,Nie,Nie,02,1
PAW30_1,PE_1_W30,AIRNETSPZOO,2205072,0174792,,32A,54.2838,17.8128,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W30_1,Nie,Tak,Nie,Nie,Nie,03,2
PAW31_1,PE_1_W31,AIRNETSPZOO,2205052,0172675,17011,5,54.2703,18.2084,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W31_1,Nie,Tak,Nie,Nie,Nie,02,1
PAW32_1,PE_1_W32,AIRNETSPZOO,2205052,0172675,17011,7C,54.2737,18.2125,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W32_1,Nie,Tak,Nie,Nie,Nie,02,2
PAW34_1,PE_1_W34,AIRNETSPZOO,2205052,0172505,34563,21,54.2522,18.1394,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W34_1,Nie,Tak,Nie,Nie,Nie,02,1
PAW35_1,PE_1_W35,AIRNETSPZOO,2205025,0163104,25331,39,54.3195,18.2587,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W35_1,Nie,Tak,Nie,Nie,Nie,03,1
PAW36_1,PE_1_W36,AIRNETSPZOO,2205052,0172439,,35F,54.2765,18.1634,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W36_1,Nie,Tak,Nie,Nie,Nie,02,1
PAW37_1,PE_1_W37,AIRNETSPZOO,2204052,0170140,22003,20,54.2040,18.2776,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W37_1,Nie,Tak,Nie,Nie,Nie,02,2
PAW37_2,PE_1_W37,AIRNETSPZOO,2204052,0170140,22003,20,54.2040,18.2776,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W37_2,Nie,Tak,Nie,Nie,Nie,04,1
PAW40_1,PE_1_W40,AIRNETSPZOO,2205052,1014441,,5,54.2594,18.2507,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W40_1,Nie,Tak,Nie,Nie,Nie,03,1
PAW42_1,PE_1_W42,AIRNETSPZOO,2205052,0172385,20998,24,54.2707,18.2876,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W42_1,Nie,Tak,Nie,Nie,Nie,03,4
PAW42_2,PE_1_W42,AIRNETSPZOO,2205052,0172385,20998,24,54.2707,18.2876,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W42_2,Nie,Tak,Nie,Nie,Nie,02,3
PAW43_1,PE_1_W43,AIRNETSPZOO,2261011,0933016,21620,12,54.3475,18.4810,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W43_1,Nie,Tak,Nie,Nie,Nie,03,2
PAW44_1,PE_1_W44,AIRNETSPZOO,2261011,0933016,12618,1,54.4121,18.4458,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W44_1,Nie,Tak,Nie,Nie,Nie,06,1
PAW45_1,PE_1_W45,AIRNETSPZOO,2261011,0933016,14535,7a,54.4175,18.4561,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W45_1,Nie,Tak,Nie,Nie,Nie,04,1
PAW47_1,PE_1_W47,AIRNETSPZOO,2205085,0177448,17534,14,54.3815,18.4278,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W47_1,Nie,Tak,Nie,Nie,Nie,03,3
PAW50_1,PE_1_W50,AIRNETSPZOO,2205085,0177247,13706,26,54.3544,18.4245,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W50_1,Nie,Tak,Nie,Nie,Nie,03,8
PAW50_2,PE_1_W50,AIRNETSPZOO,2205085,0177247,13706,26,54.3544,18.4245,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W50_2,Nie,Tak,Nie,Nie,Nie,04,1
PAW50_3,PE_1_W50,AIRNETSPZOO,2205085,0177247,13706,26,54.3544,18.4245,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W50_3,Nie,Tak,Nie,Nie,Nie,02,1
PAW51_1,PE_1_W51,AIRNETSPZOO,2205085,0177276,20254,21,54.3610,18.3680,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W51_1,Nie,Tak,Nie,Nie,Nie,02,2
PAW51_2,PE_1_W51,AIRNETSPZOO,2205085,0177276,20254,21,54.3610,18.3680,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W51_2,Nie,Tak,Nie,Nie,Nie,03,3
PAW51_3,PE_1_W51,AIRNETSPZOO,2205085,0177276,20254,21,54.3610,18.3680,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W51_3,Nie,Tak,Nie,Nie,Nie,01,1
